Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
6,0,0,0,0
12,0,0,0,0
18,5,0,0,0
24,5,0,0,0
30,5,0,0,0
36,5,0,0,0
42,5,0,0,0
48,5,0,0,0
54,5,0,0,0
60,5,0,0,0
66,5,0,0,0
72,5,0,0,0
78,5,0,0,0
84,5,0,0,0
90,4,0,0,0
96,4,0,0,0
102,3,0,0,0
108,3,0,0,0
114,3,0,0,1
120,3,0,0,0
126,3,0,0,0
132,3,0,0,0
138,2,0,0,0
144,2,0,0,0
150,2,0,0,0
156,3,0,0,0
162,2,0,0,0
168,3,0,0,1
174,0,0,0,0
180,3,0,0,1
186,3,0,0,0
192,3,0,0,0
198,3,0,0,0
204,3,0,0,0
210,3,0,0,0
216,3,0,0,0
222,2,0,0,0
228,2,0,0,0
234,2,0,0,0
240,2,0,0,0
246,2,0,0,0
252,2,0,0,0
258,2,0,0,0
264,1,0,0,0
270,1,0,0,0
276,2,0,0,0
282,2,0,0,0
288,0,0,0,0
294,2,0,0,0
300,2,0,0,0
306,2,0,0,0
312,2,0,0,0
318,2,0,0,0
324,2,0,0,0
330,2,0,0,0
336,2,0,0,0
342,2,0,0,0
348,2,0,0,0
354,2,0,0,0
360,2,0,0,0
366,3,0,0,0
372,2,0,0,0
378,2,0,0,0
384,2,0,0,0
390,2,0,0,0
396,2,0,0,0
402,2,0,0,0
408,2,0,0,0
414,3,0,0,0
420,3,0,0,0
426,3,0,0,0
432,3,0,0,0
438,3,0,0,0
444,3,0,0,0
450,3,0,0,0
456,3,0,0,0
462,3,0,0,0
468,4,0,0,0
474,4,0,0,0
480,4,0,0,1
486,4,0,0,1
492,4,0,0,1
498,4,0,0,0
504,4,0,0,0
510,4,0,0,0
516,5,0,0,0
522,5,0,0,0
528,4,0,0,0
534,5,0,0,0
540,5,0,0,0
546,4,0,0,0
552,5,0,0,0
558,5,0,0,0
564,6,0,0,0
570,6,0,0,0
576,6,0,0,0
582,6,0,0,0
588,6,0,0,0
594,6,0,0,0
600,5,0,0,0
606,5,0,0,0
612,6,0,0,0
618,5,0,0,0
624,6,0,0,0
630,5,0,0,1
636,6,0,0,1
642,5,0,0,0
648,4,0,0,1
654,4,0,0,1
660,3,0,0,1
666,4,0,0,0
672,5,0,0,0
678,5,0,0,0
684,5,0,0,0
690,5,0,0,0
696,6,0,0,0
702,6,0,0,0
708,7,0,0,0
714,7,0,0,0
720,7,0,0,0
726,7,0,0,0
732,6,0,0,0
738,6,0,0,1
744,5,0,0,1
750,4,0,0,1
756,4,0,0,1
762,4,0,0,1
768,5,0,0,0
774,6,0,0,1
780,7,0,0,1
786,8,0,0,0
792,8,0,0,0
798,9,0,0,0
804,8,0,0,0
810,7,0,0,0
816,6,0,0,1
822,6,0,0,0
828,6,0,0,0
834,6,0,0,0
840,6,0,0,0
846,4,0,0,0
852,4,0,0,0
858,4,0,0,0
864,4,0,0,0
870,4,0,0,0
876,4,0,0,0
882,5,0,0,0
888,5,0,0,0
894,5,0,0,0
900,5,0,0,0
906,5,0,0,0
912,6,0,0,0
918,6,0,0,0
924,5,0,0,0
930,4,0,0,0
936,5,0,0,0
942,5,0,0,0
948,5,0,0,0
954,6,0,0,0
960,6,0,0,0
966,6,0,0,0
972,5,0,0,0
978,6,0,0,0
984,7,0,0,0
990,6,0,0,0
996,7,0,0,0
1002,7,0,0,0
1008,7,0,0,0
1014,7,0,0,0
1020,7,0,0,0
1026,6,0,0,0
1032,6,0,0,0
1038,6,0,0,0
1044,6,0,0,0
1050,6,0,0,0
1056,6,0,0,0
1062,7,0,0,0
1068,6,0,0,0
1074,6,0,0,0
1080,6,0,0,0
1086,6,0,0,0
1092,6,0,0,0
1098,5,0,0,0
1104,4,0,0,0
1110,5,0,0,0
1116,5,0,0,0
1122,5,0,0,0
1128,5,0,0,0
1134,5,0,0,0
1140,5,0,0,0
1146,6,0,0,0
1152,6,0,0,0
1158,6,0,0,0
1164,6,0,0,0
1170,6,0,0,0
1176,5,0,0,0
1182,4,0,0,0
1188,5,0,0,0
1194,6,0,0,0
1200,6,0,0,0
1206,6,0,0,0
1212,6,0,0,0
1218,6,0,0,0
1224,6,0,0,0
1230,6,0,0,0
1236,6,0,0,0
1242,6,0,0,0
1248,6,0,0,0
1254,6,0,0,0
1260,5,0,0,0
1266,6,0,0,0
1272,5,0,0,0
1278,5,0,0,0
1284,4,0,0,0
1290,4,0,0,0
1296,4,0,0,0
1302,5,0,0,0
1308,6,0,0,0
1314,6,0,0,0
1320,6,0,0,0
1326,6,0,0,0
1332,6,0,0,0
1338,6,0,0,0
1344,6,0,0,0
1350,7,0,0,0
1356,7,0,0,0
1362,7,0,0,0
1368,7,0,0,0
1374,7,0,0,0
1380,7,0,0,0
1386,6,0,0,0
1392,6,0,0,0
1398,6,0,0,0
1404,6,0,0,0
1410,6,0,0,1
1416,0,0,0,0
1422,6,0,0,0
1428,6,0,0,0
1434,4,0,0,0
1440,4,0,0,0
1446,5,0,0,0
1452,5,0,0,0
1458,5,0,0,0
1464,5,0,0,0
1470,5,0,0,0
1476,7,0,0,0
1482,7,0,0,0
1488,7,0,0,0
1494,8,0,0,0
1500,8,0,0,0
1506,8,0,0,0
1512,7,0,0,0
1518,7,0,0,0
1524,7,0,0,0
1530,7,0,0,0
1536,6,0,0,0
1542,6,0,0,0
1548,6,0,0,0
1554,6,0,0,0
1560,6,0,0,0
1566,4,0,0,0
1572,6,0,0,0
1578,6,0,0,0
1584,6,0,0,0
1590,7,0,0,0
1596,7,0,0,0
1602,7,0,0,0
1608,6,0,0,0
1614,6,0,0,0
1620,6,0,0,0
1626,6,0,0,0
1632,5,0,0,0
1638,5,0,0,0
1644,6,0,0,0
1650,6,0,0,0
1656,6,0,0,0
1662,6,0,0,0
1668,6,0,0,0
1674,5,0,0,0
1680,5,0,0,0
1686,5,0,0,0
1692,5,0,0,0
1698,5,0,0,0
1704,5,0,0,0
1710,4,0,0,0
1716,4,0,0,0
1722,4,0,0,0
1728,4,0,0,0
1734,4,0,0,0
1740,4,0,0,0
1746,5,0,0,0
1752,5,0,0,0
1758,5,0,0,0
1764,5,0,0,0
1770,5,0,0,0
1776,5,0,0,0
1782,5,0,0,0
1788,5,0,0,0
1794,5,0,0,0
1800,5,0,0,0
1806,5,0,0,0
1812,5,0,0,0
1818,5,0,0,0
1824,3,0,0,0
1830,4,0,0,0
1836,4,0,0,0
1842,5,0,0,0
1848,5,0,0,0
1854,5,0,0,0
1860,5,0,0,0
1866,5,0,0,0
1872,4,0,0,0
1878,4,0,0,0
1884,4,0,0,0
1890,4,0,0,0
1896,4,0,0,0
1902,4,0,0,0
1908,4,0,0,0
1914,4,0,0,0
1920,4,0,0,0
1926,4,0,0,0
1932,3,0,0,0
1938,4,0,0,0
1944,4,0,0,0
1950,4,0,0,0
1956,4,0,0,0
1962,4,0,0,0
1968,4,0,0,0
1974,4,0,0,0
1980,4,0,0,0
1986,5,0,0,0
1992,5,0,0,0
1998,4,0,0,0
2004,4,0,0,0
2010,4,0,0,0
2016,4,0,0,0
2022,4,0,0,0
2028,5,0,0,0
2034,5,0,0,0
2040,5,0,0,0
2046,5,0,0,0
2052,4,0,0,0
2058,4,0,0,0
2064,3,0,0,0
2070,3,0,0,0
2076,3,0,0,0
2082,3,0,0,0
2088,3,0,0,0
2094,3,0,0,0
2100,3,0,0,0
2106,3,0,0,0
2112,4,0,0,0
2118,4,0,0,0
2124,3,0,0,0
2130,3,0,0,0
2136,3,0,0,0
2142,3,0,0,0
2148,3,0,0,0
2154,4,0,0,0
2160,4,0,0,0
2166,4,0,0,0
2172,5,0,0,0
2178,5,0,0,0
2184,5,0,0,0
2190,5,0,0,0
2196,5,0,0,0
2202,4,0,0,0
2208,4,0,0,0
2214,4,0,0,0
2220,4,0,0,0
2226,3,0,0,0
2232,2,0,0,0
2238,2,0,0,0
2244,3,0,0,0
2250,3,0,0,0
2256,3,0,0,0
2262,3,0,0,0
2268,4,0,0,0
2274,5,0,0,0
2280,5,0,0,0
